transaction_id,date,type,category,description,amount,reference
TX-MIX-001,2026-01-04,income,Sales,Retail clothing sales,75000.00,INV-001
TX-MIX-002,2026-01-07,expense,Rent,Shop space rental,40000.00,REC-001

TX-MIX-003,2026-01-11,income,Sales,Fabric bundle,0.00,INV-002
TX-MIX-004,2026-01-15,income,Sales,Online boutique order,32000.00,INV-003
TX-MIX-005,2026-01-20,expense,Supplies,Broken row with missing columns,5000.00
TX-MIX-006,2026-02-02,expense,Utilities,Water bill payment,12000.00,REC-002
TX-MIX-007,2026-02-08,transfer,Finance,,25000.00,
tx-mix-004,2026-02-14,income,Sales,Repeat invoice entry,32000.00,INV-003-B
TX-MIX-008,2026-02-19,expense,Logistics,Courier delivery dispatch,7500.50,DISP-88
TX-MIX-009,2026-02-29,expense,Logistics,Invalid leap date,4500.00,DISP-89
